Detector,Keypoints,Descriptor,Matcher,Descriptor Type,Selector,Detector time,Descriptor time,Total time
SHITOMASI,118,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0125985,0.258665,0.2712635
SHITOMASI,123,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0138426,0.255622,0.2694646
SHITOMASI,120,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0130969,0.255498,0.2685949
SHITOMASI,120,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.012074,0.258446,0.27052
SHITOMASI,113,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0116229,0.254057,0.2656799
SHITOMASI,114,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0118412,0.254695,0.2665362
SHITOMASI,123,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0117107,0.257111,0.2688217
SHITOMASI,111,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00975774,0.255286,0.26504374
SHITOMASI,112,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00967401,0.255461,0.26513501
SHITOMASI,118,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0130214,0.00135036,0.01437176
SHITOMASI,123,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0106539,0.000653044,0.011306944
SHITOMASI,120,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0125806,0.000657069,0.013237669
SHITOMASI,120,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00974755,0.000673805,0.010421355
SHITOMASI,113,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00985611,0.000648012,0.010504122
SHITOMASI,114,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0111357,0.000642115,0.011777815
SHITOMASI,123,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0120913,0.00154281,0.01363411
SHITOMASI,111,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0115549,0.000647795,0.012202695
SHITOMASI,112,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.011965,0.000674943,0.012639943
SHITOMASI,118,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.014055,0.00412538,0.01818038
SHITOMASI,123,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0124791,0.00405942,0.01653852
SHITOMASI,120,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0115007,0.00406448,0.01556518
SHITOMASI,120,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0125817,0.00411477,0.01669647
SHITOMASI,113,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0120514,0.00394138,0.01599278
SHITOMASI,114,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0123163,0.00410213,0.01641843
SHITOMASI,123,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0121027,0.00409065,0.01619335
SHITOMASI,111,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0122202,0.00400119,0.01622139
SHITOMASI,112,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00994697,0.004032,0.01397897
SHITOMASI,118,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0123333,0.0367055,0.0490388
SHITOMASI,123,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0113098,0.0370785,0.0483883
SHITOMASI,120,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00997339,0.0366062,0.04657959
SHITOMASI,120,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.014095,0.0376424,0.0517374
SHITOMASI,113,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0126675,0.0366696,0.0493371
SHITOMASI,114,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0109287,0.0369079,0.0478366
SHITOMASI,123,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0110923,0.03686,0.0479523
SHITOMASI,111,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0111793,0.0368809,0.0480602
SHITOMASI,112,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00964221,0.036739,0.04638121
SHITOMASI,118,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.011263,0.0171307,0.0283937
SHITOMASI,123,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.0101461,0.0137636,0.0239097
SHITOMASI,120,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.0125241,0.0172664,0.0297905
SHITOMASI,120,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.0189692,0.0174246,0.0363938
SHITOMASI,113,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.0144183,0.0171236,0.0315419
SHITOMASI,114,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.0116374,0.0188514,0.0304888
SHITOMASI,123,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.0149271,0.0181748,0.0331019
SHITOMASI,111,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.0115266,0.0176698,0.0291964
SHITOMASI,112,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.0148441,0.0177799,0.032624
HARRIS,14,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0129951,0.252718,0.2657131
HARRIS,18,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0128072,0.253892,0.2666992
HARRIS,21,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0113789,0.254643,0.2660219
HARRIS,26,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0125915,0.253042,0.2656335
HARRIS,43,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0223121,0.253857,0.2761691
HARRIS,18,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0118544,0.252644,0.2644984
HARRIS,31,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0138583,0.25235,0.2662083
HARRIS,26,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0121525,0.252786,0.2649385
HARRIS,34,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.016389,0.253419,0.269808
HARRIS,14,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0138487,0.000808946,0.014657646
HARRIS,18,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0113514,0.000338671,0.011690071
HARRIS,21,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0108977,0.000338034,0.011235734
HARRIS,26,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0128442,0.00040369,0.01324789
HARRIS,43,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0233799,0.000455587,0.023835487
HARRIS,18,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0112939,0.000346848,0.011640748
HARRIS,31,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0130931,0.000411643,0.013504743
HARRIS,26,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0115016,0.00038092,0.01188252
HARRIS,34,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.0139568,0.000422019,0.014378819
HARRIS,14,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.013612,0.00401988,0.01763188
HARRIS,18,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0137618,0.00387286,0.01763466
HARRIS,21,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0104266,0.0039284,0.014355
HARRIS,26,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.010304,0.00391643,0.01422043
HARRIS,43,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0208505,0.00391651,0.02476701
HARRIS,18,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0121136,0.00396612,0.01607972
HARRIS,31,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0139026,0.00394982,0.01785242
HARRIS,26,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0130735,0.00389728,0.01697078
HARRIS,34,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.016657,0.00397873,0.02063573
HARRIS,14,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0126286,0.0366435,0.0492721
HARRIS,18,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0117584,0.0370362,0.0487946
HARRIS,21,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0109731,0.0363765,0.0473496
HARRIS,26,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0134762,0.0367946,0.0502708
HARRIS,43,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0232255,0.0363294,0.0595549
HARRIS,18,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0108972,0.0364759,0.0473731
HARRIS,31,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0142715,0.0362241,0.0504956
HARRIS,26,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0122909,0.0366205,0.0489114
HARRIS,34,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.0170101,0.0362341,0.0532442
HARRIS,14,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.0114917,0.0169624,0.0284541
HARRIS,18,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.0140713,0.0129679,0.0270392
HARRIS,21,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.0120325,0.0125378,0.0245703
HARRIS,26,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.0106116,0.0127719,0.0233835
HARRIS,43,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.0201543,0.0131497,0.033304
HARRIS,18,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.0156917,0.0125946,0.0282863
HARRIS,31,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.0129586,0.012768,0.0257266
HARRIS,26,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.010335,0.0128571,0.0231921
HARRIS,34,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.0162533,0.0136828,0.0299361
FAST,152,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00090579,0.257233,0.25813879
FAST,150,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00141058,0.258956,0.26036658
FAST,155,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0014166,0.258101,0.2595176
FAST,149,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00164007,0.256724,0.25836407
FAST,149,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00155044,0.25672,0.25827044
FAST,156,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00185205,0.256549,0.25840105
FAST,150,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00183945,0.255291,0.25713045
FAST,138,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00136191,0.256439,0.25780091
FAST,143,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00185924,0.257811,0.25967024
FAST,152,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.000958696,0.00136639,0.002325086
FAST,150,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00192061,0.000792672,0.002713282
FAST,155,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00192058,0.00137711,0.00329769
FAST,149,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.000899078,0.000783159,0.001682237
FAST,149,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00158923,0.00116943,0.00275866
FAST,156,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.000906005,0.00078148,0.001687485
FAST,150,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00133219,0.00107311,0.0024053
FAST,138,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00187983,0.00136955,0.00324938
FAST,143,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00114777,0.00089049,0.00203826
FAST,152,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.000935549,0.00436157,0.005297119
FAST,150,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00184666,0.00414869,0.00599535
FAST,155,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00129232,0.00598403,0.00727635
FAST,149,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00185033,0.00479695,0.00664728
FAST,149,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00169204,0.00520822,0.00690026
FAST,156,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00142024,0.00654536,0.0079656
FAST,150,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00183066,0.00483246,0.00666312
FAST,138,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00130325,0.00594779,0.00725104
FAST,143,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00185867,0.00476626,0.00662493
FAST,152,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.000929041,0.0407536,0.041682641
FAST,150,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00140392,0.0402534,0.04165732
FAST,155,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00109647,0.0384068,0.03950327
FAST,149,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00086755,0.036474,0.03734155
FAST,149,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.000869488,0.0367745,0.037643988
FAST,156,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00124614,0.03861,0.03985614
FAST,150,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00101201,0.037977,0.03898901
FAST,138,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00186342,0.0374154,0.03927882
FAST,143,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.000902596,0.0363705,0.037273096
FAST,152,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00114736,0.0186916,0.01983896
FAST,150,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00184357,0.0221004,0.02394397
FAST,155,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00184533,0.0181948,0.02004013
FAST,149,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00211655,0.017178,0.01929455
FAST,149,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00128856,0.0195018,0.02079036
FAST,156,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00185075,0.018747,0.02059775
FAST,150,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00182648,0.019855,0.02168148
FAST,138,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00186061,0.0175109,0.01937151
FAST,143,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00130005,0.020038,0.02133805
BRISK,282,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.284191,0.255147,0.539338
BRISK,282,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.28634,0.254105,0.540445
