Detector,Keypoints,Descriptor,Matcher,Descriptor Type,Selector,Detector time,Descriptor time,Total time
FAST,427,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00210553,0.00218227,0.0042878
FAST,404,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00391112,0.00158132,0.00549244
FAST,423,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00419679,0.00153988,0.00573667
FAST,386,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00416491,0.00178974,0.00595465
FAST,414,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00223053,0.00185677,0.0040873
FAST,418,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00422899,0.00179737,0.00602636
FAST,406,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00425129,0.0017862,0.00603749
FAST,396,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00382802,0.00228326,0.00611128
FAST,401,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,0.00432957,0.00169636,0.00602593
FAST,427,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00193582,0.256285,0.25822082
FAST,404,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00183453,0.256006,0.25784053
FAST,423,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00359269,0.263317,0.26690969
FAST,386,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0018251,0.255157,0.2569821
FAST,414,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.0019659,0.254293,0.2562589
FAST,418,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00368375,0.256886,0.26056975
FAST,406,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00345736,0.256922,0.26037936
FAST,396,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00364197,0.260841,0.26448297
FAST,401,BRISK,MAT_BF,DES_BINARY,SEL_KNN,0.00353593,0.257021,0.26055693
FAST,427,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0021237,0.00456529,0.00668899
FAST,404,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00190408,0.00450443,0.00640851
FAST,423,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00193158,0.00443298,0.00636456
FAST,386,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00192539,0.00440534,0.00633073
FAST,414,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00392281,0.00441987,0.00834268
FAST,418,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00193736,0.00448879,0.00642615
FAST,406,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00196495,0.00434425,0.0063092
FAST,396,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.00399192,0.00440863,0.00840055
FAST,401,ORB,MAT_BF,DES_BINARY,SEL_KNN,0.0041428,0.004358,0.0085008
FAST,427,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00205006,0.0410762,0.04312626
FAST,404,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00355627,0.0403561,0.04391237
FAST,423,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00407906,0.0383345,0.04241356
FAST,386,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00196686,0.0382176,0.04018446
FAST,414,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00195458,0.0379743,0.03992888
FAST,418,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00299482,0.0406657,0.04366052
FAST,406,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00417671,0.0379772,0.04215391
FAST,396,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00418055,0.0377149,0.04189545
FAST,401,FREAK,MAT_BF,DES_BINARY,SEL_KNN,0.00416946,0.0382263,0.04239576
FAST,427,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00193167,0.0268274,0.02875907
FAST,404,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00183668,0.0253395,0.02717618
FAST,423,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00370387,0.0273626,0.03106647
FAST,386,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00402758,0.0243498,0.02837738
FAST,414,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00405411,0.024548,0.02860211
FAST,418,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00410429,0.0245474,0.02865169
FAST,406,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00411888,0.024683,0.02880188
FAST,396,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.00208827,0.023775,0.02586327
FAST,401,SIFT,MAT_BF,DES_HOG,SEL_KNN,0.003973,0.024408,0.028381
